,Real Personal Consumption Expenditures,Real Gross Private Domestic Investment,Real Government Consumption Expenditures and Gross Investment,Real Exports of Goods and Services,Real Imports of Goods and Services
1947-01-01,1351.397,227.242,560.515,93.767,53.861
1947-04-01,1373.88,209.836,560.091,92.584,54.898
1947-07-01,1378.358,203.662,560.034,87.885,48.687
1947-10-01,1378.796,243.072,555.556,77.928,51.312
1948-01-01,1385.667,268.012,563.895,74.373,57.862
1948-04-01,1401.789,284.598,583.846,67.42,60.156
1948-07-01,1403.859,287.514,596.087,69.005,63.297
1948-10-01,1415.063,273.765,618.1,66.573,62.27
1949-01-01,1417.353,232.885,634.547,74.54,60.402
1949-04-01,1439.077,201.926,662.174,73.902,59.521
1949-07-01,1442.341,218.667,665.721,67.729,57.095
1949-10-01,1463.488,207.912,654.121,58.631,57.955
1950-01-01,1487.854,257.271,642.039,57.665,59.575
1950-04-01,1512.357,284.803,653.806,58.361,62.863
1950-07-01,1590.019,309.285,643.275,59.875,77.573
1950-10-01,1542.087,348.585,688.73,64.728,77.719
1951-01-01,1579.375,312.966,762.013,67.963,77.724
1951-04-01,1534.744,320.221,863.552,74.651,75.148
1951-07-01,1552.624,296.643,958.43,76.485,68.784
1951-10-01,1561.67,273.007,1009.059,75.767,66.985
1952-01-01,1565.288,280.13,1039.017,79.8,74.757
1952-04-01,1595.941,259.01,1074.374,71.028,74.371
1952-07-01,1603.596,272.895,1085.214,65.418,78.921
1952-10-01,1660.168,292.552,1103.302,65.866,85.997
1953-01-01,1679.665,298.847,1138.261,64.752,83.877
1953-04-01,1689.777,300.547,1161.607,65.156,88.227
1953-07-01,1685.752,294.261,1149.285,67.767,87.891
1953-10-01,1674.449,272.998,1146.434,65.534,83.568
1954-01-01,1680.625,271.041,1116.653,62.595,78.742
1954-04-01,1702.449,270.402,1078.86,71.588,85.824
1954-07-01,1725.489,283.451,1055.542,69.288,80.647
1954-10-01,1761.703,295.882,1049.2,72.479,81.412
1955-01-01,1801.231,325.442,1049.83,75.172,86.223
1955-04-01,1835.737,345.235,1039.546,73.419,91.112
1955-07-01,1858.411,350.533,1046.213,78.238,92.645
1955-10-01,1881.748,358.661,1025.47,78.59,96.002
1956-01-01,1884.805,348.42,1025.219,82.321,100.032
1956-04-01,1891.074,345.678,1045.932,87.867,99.511
1956-07-01,1895.35,342.583,1036.749,90.792,100.376
1956-10-01,1921.479,339.406,1063.129,94.86,95.771
1957-01-01,1934.843,334.137,1085.921,101.041,103.391
1957-04-01,1938.216,333.798,1080.303,98.048,104.198
